iclaimsNSA,michigan.unemployment,idaho.unemployment,pennsylvania.unemployment,unemployment.filing,new.jersey.unemployment,department.of.unemployment,illinois.unemployment,rhode.island.unemployment,unemployment.office,filing.unemployment
2.536,1.488,-0.561,1.773,0.909,2.021,1.64,0.3,1.75,0.498,0.073
0.882,1.1,-0.992,0.9,0.148,1.28,1.014,0.18,-0.011,0.264,0.584
-0.077,1.155,-1.212,1.477,0.21,1.08,1.009,0.119,-0.028,0.031,0.448
0.135,0.53,-1.034,1.244,-0.308,1.067,0.734,0.727,-0.23,-0.143,-0.269
0.373,0.698,-1.195,0.643,0.57,1.125,0.502,0.598,0.625,-0.219,-1.006
-0.437,0.441,-1.386,0.049,-0.182,0.615,-0.226,-0.199,-0.401,-0.526,-1.124
-0.556,0.405,-0.844,0.198,-0.553,0.784,-0.518,-0.245,-0.976,-0.699,-0.504
-0.432,-0.016,-1.001,-0.401,-0.339,-0.163,-0.55,-0.871,-1.236,-0.884,-1.254
-0.46,0.271,-1.234,0.252,-0.666,0.321,-0.558,-0.359,-0.555,-0.778,-2.114
-0.698,-0.357,-1.269,-1.189,-1.911,-0.645,-1.468,-1.116,0.156,-1.182,-2.958
-0.765,-0.006,-1.326,0.242,0.175,-0.185,-0.912,-0.276,0.158,-0.917,-0.939
-0.833,-0.647,-2.124,-0.71,-0.14,-1.235,-1.924,-0.978,-0.572,-1.158,-1.758
-0.767,-0.282,-1.615,-0.489,-0.556,0.879,-0.593,-0.444,-1.992,-0.898,-0.831
-0.356,-0.503,-1.035,-0.201,-0.367,-0.34,-0.331,-0.397,-0.897,-0.844,-0.425
-0.496,-0.998,-1.356,-0.717,-0.514,-0.806,-1.27,-0.669,-0.338,-1.145,-1.21
-0.684,-0.618,-1.06,-0.012,-0.93,-0.093,-1.162,-0.805,-0.373,-1.04,-0.868
-0.953,-0.547,-1.437,0.007,-0.302,0.221,-1.277,-0.504,-0.512,-0.898,-1.441
-0.869,-0.403,-1.36,-0.386,-0.129,0.001,-1.214,-0.636,0.065,-1.069,-0.929
-0.831,-0.691,-1.553,-0.002,-0.348,-0.775,-0.428,-0.626,-0.489,-0.858,-1.033
-0.858,-0.793,-1.302,-0.401,-0.565,0.159,-0.657,-0.855,-0.629,-0.983,-0.942
-0.769,-0.654,-1.332,-0.052,-0.432,-0.134,-0.674,-0.562,0.569,-0.953,-1.054
-0.732,-0.78,-1.362,-0.518,-0.748,0.309,-0.366,-0.668,-0.649,-0.55,-1.276
-0.682,-0.575,-1.459,-0.39,0.024,-0.416,0.034,-0.693,-0.846,-0.701,-0.941
-0.606,-0.575,-1.522,0.589,-0.189,-0.206,-0.129,-0.681,0.457,-0.443,-0.218
-0.639,-0.792,-1.255,0.036,-0.19,1.17,-0.284,-0.483,0.024,-0.672,-1.335
-0.363,-0.189,-1.096,-0.005,-0.299,0.858,-0.292,0.131,-0.958,-0.453,0.058
0.473,0.56,-1.211,-0.024,-0.496,0.281,-0.508,-0.297,-0.025,-0.449,-0.401
0.03,0.045,-1.113,-0.113,0.441,0.599,0.283,-0.385,-0.316,-0.472,-0.597
-0.688,-0.233,-1.157,-0.408,-0.539,-0.102,-0.729,-0.575,-0.742,-0.585,-0.609
-0.963,-0.209,-1.211,-0.113,0.134,-0.288,-0.388,-0.535,-0.166,-0.524,-0.88
-0.879,-0.23,-1.22,-0.617,-0.03,-0.503,-0.464,-0.607,0.652,-0.326,-0.605
-1.132,-0.757,-1.427,-0.291,0.29,-0.05,-0.213,-0.851,-1.309,-0.798,-0.841
-1.031,-0.429,-1.555,-0.586,-0.283,0.264,0.132,-0.702,-0.767,-0.718,-0.369
-1.014,-0.342,-1.204,0.107,-0.195,-0.059,-0.043,-0.743,-0.671,-0.577,-0.632
-1.026,-0.819,-1.208,-0.056,-0.133,0.521,-0.828,-0.767,0.112,-0.828,0.007
-1.242,-0.724,-1.386,-0.443,-0.259,-0.437,-0.803,-0.989,-0.535,-0.737,-1.559
-1.018,-0.484,-1.163,-0.257,-0.645,-0.068,-0.975,-0.767,-0.896,-1.042,-1.585
-0.957,-0.74,-1.053,-0.52,-0.712,-0.691,-1.082,-0.695,-0.778,-0.71,-0.734
-0.985,-0.98,-0.788,-0.549,-0.602,-0.249,-0.777,-0.886,-1.033,-1.022,-1.522
-0.463,-0.43,-0.495,-0.205,-0.779,-0.413,-0.583,-0.718,-0.42,-0.628,-0.998
-0.983,-0.954,-0.712,-0.778,-1.309,-0.534,-1.448,-0.725,-0.978,-1.014,-0.917
-0.649,-0.58,-0.924,-0.412,-0.872,-0.5,-0.414,-0.609,-0.581,-0.946,-1.054
-0.756,-0.683,-1.117,-0.932,-0.854,-0.543,-0.748,-0.624,-0.5,-1.093,-0.283
-0.35,-0.556,-0.637,-0.584,-0.602,-0.275,-0.009,-0.576,-0.161,-0.848,-0.137
-0.7,-0.725,-1.322,-0.458,-0.563,-0.604,-1.213,-1.164,-0.955,-1.357,-0.888
-0.31,-0.12,-0.726,-0.343,0.199,-0.749,-0.74,-0.825,-0.944,-0.967,-0.006
-0.622,-0.666,-0.806,-0.756,-1.138,-0.947,-0.938,-1.363,-1.181,-1.506,-1.339
0.73,-0.282,-1.019,-0.001,0.057,-0.366,-0.774,-0.511,-1.127,-0.792,-0.368
-0.181,-0.145,-0.585,-0.052,-0.521,0.253,-1.157,-0.939,-0.388,-1.062,-0.547
-0.144,-0.12,-0.496,-0.414,-1.088,-0.251,-0.27,-0.856,-1.313,-1.161,0.15
0.492,0.471,-0.66,-0.086,-0.421,0.082,-0.607,-1.107,-0.559,-1.404,-1.646
1.325,0.872,0.062,0.481,0.931,0.901,0.192,-0.729,0.894,-0.754,1.107
2.677,0.976,-0.003,0.824,-0.089,1.725,1.157,-0.589,0.133,0.007,-0.115
0.679,0.446,0.231,0.098,0.241,-0.445,0.71,-0.014,0.182,-0.465,-1.062
-0.269,0.248,-0.142,0.174,-0.558,-0.123,0.464,-0.38,1.236,-0.552,-1.051
-0.233,-0.319,-0.867,0.334,-0.348,0.285,0.942,-0.16,-0.488,-0.65,-0.769
-0.386,-0.194,-0.822,0.523,-0.297,-0.198,0.566,-0.566,-0.289,-0.596,-0.559
-0.723,-0.357,-0.564,-0.391,-0.318,-0.531,-0.524,-0.98,0.578,-0.948,-0.87
-0.771,-0.76,-1.113,-0.178,-0.882,-0.446,-0.228,-0.477,-0.705,-1.199,-0.517
-0.886,-0.611,-1.163,0.186,-0.325,-0.43,-0.4,-0.976,-0.576,-0.927,-1.577
-0.521,-0.408,-0.842,-0.265,-0.271,-0.197,-0.273,-0.835,-0.02,-0.953,-1.013
-0.742,-0.356,-0.773,-0.453,-1.003,-0.018,-0.495,-1.059,-1.119,-1.027,-0.908
-0.887,-0.375,-0.896,-0.131,-0.333,-0.948,-0.067,-0.884,-0.131,-0.935,-0.543
-0.881,-0.712,-0.73,-0.234,-0.551,-0.667,-0.835,-0.976,-0.926,-1.215,-0.228
-0.849,-0.622,-0.521,0.035,-0.066,-0.592,-0.413,-0.907,-0.649,-0.954,-1.269
-0.454,-0.946,-0.947,-0.377,-0.515,-1.16,-0.684,-1.177,-0.799,-1.263,-1.382
-0.932,-0.264,-0.728,-0.175,-0.247,-0.766,-0.547,-0.619,-0.44,-1.082,-0.976
-0.806,-0.285,-1.136,-0.182,-0.452,-1.108,-0.942,-1.039,-0.734,-1.164,-0.573
-0.886,-0.681,-0.487,-0.465,-0.801,-0.588,-0.868,-0.694,-0.693,-1.036,-0.866
-0.828,-0.673,-0.912,-0.598,-0.263,-0.426,-0.827,-1.038,-1.153,-1.186,-1.448
-1.021,-0.947,-0.603,-0.284,-0.597,-0.936,-0.811,-0.972,-0.026,-1.059,-0.584
-1.01,-0.721,-1.157,-0.564,-0.632,-0.379,-1.07,-1.061,-0.856,-1.003,-0.424
-0.767,-0.85,-0.768,-0.52,-0.393,-0.238,-0.61,-1.139,-0.921,-0.94,-0.557
-0.894,-0.416,-0.517,-0.242,-0.271,-0.469,-0.376,-0.866,-0.77,-0.791,-0.592
-0.664,-0.796,-1,-0.716,-0.4,-0.229,-0.27,-0.731,-0.829,-0.93,-0.979
-0.895,-0.566,-0.838,-0.104,-0.574,-0.658,0.661,-0.903,0.68,-0.803,-0.449
-0.923,-0.507,-1.339,-0.088,0.004,-0.06,-0.917,-0.843,-0.001,-0.791,-0.434
-0.564,-0.283,-0.632,-0.122,-0.345,0.453,0.207,-1.016,0.218,-0.51,0.155
0.321,0.07,-0.826,0.178,-0.243,0.657,0.134,-0.431,-0.025,-0.758,-0.989
-0.145,-0.311,-1.027,-0.277,0.35,-0.181,0.129,-0.765,-0.763,-0.482,-0.493
-0.849,-0.439,-1.159,-0.259,-0.093,-0.559,0.028,-0.896,-0.29,-0.759,-0.427
-1.142,-0.387,-1.118,-0.359,-0.051,-0.195,0.459,-0.677,-1.144,-0.715,-0.172
-1.072,-0.422,-1.429,-0.339,-0.695,-0.862,0.204,-1.055,-0.963,-0.644,-0.98
-1.184,-0.681,-1.358,-0.46,-0.625,-0.747,0.081,-0.984,-1.076,-0.664,-1.151
-1.229,-0.754,-1.192,-0.627,-0.346,-0.007,-0.303,-0.692,-0.076,-0.814,-0.323
-1.232,-0.706,-1.192,-0.731,-0.537,-1.026,-0.355,-1.119,0.123,-1.016,-0.947
-1.056,-0.649,-0.597,-0.494,-0.293,-0.829,-0.34,-0.753,-0.214,-0.487,-0.578
-0.607,-0.869,-1.375,-0.46,-0.56,-0.427,-0.046,-0.749,-1.454,-0.303,-0.181
-0.396,-0.849,-0.904,-0.716,-0.374,-0.727,0.187,-0.854,-0.596,-0.621,-0.181
-0.872,-0.98,-1.138,-0.929,-0.127,-0.523,-1.157,-1.306,-0.521,-0.898,-1.058
-0.682,-0.677,-1.066,-0.906,-0.135,-0.493,-0.504,-1.117,-0.771,-0.746,-0.78
-0.097,-0.717,-0.939,-0.423,-0.543,-1.082,-0.625,-0.734,-1.274,-0.758,-0.879
-0.777,-0.682,-0.97,-0.303,-0.076,-0.727,-0.773,-0.966,-1.109,-0.904,-1.206
-0.763,-0.393,-0.669,-0.539,-0.281,-0.708,-0.507,-1.024,-0.66,-1.131,-1.247
-0.854,-0.436,-0.152,-0.472,-0.766,-0.886,-0.41,-0.989,-0.105,-0.996,-0.354
-0.447,-0.381,-0.822,-0.404,-0.696,-0.87,-0.222,-0.847,-0.356,-0.746,-0.434
-0.95,-0.575,-1.155,-1.072,-0.826,-0.772,-0.443,-1.022,-0.448,-1.057,-0.911
-0.196,-0.423,-0.394,-0.436,-0.71,-0.568,-0.944,-0.708,-0.576,-0.92,-0.386
-0.887,-0.627,-0.504,-0.771,-0.414,-0.693,-1.067,-0.821,-0.945,-1.355,-1.545
0.474,-0.128,-0.455,-0.4,-0.152,-1.044,-0.279,-0.553,0.053,-0.839,-0.624
0.008,-0.382,-0.218,-0.58,-0.734,-0.846,-0.618,-0.938,-0.505,-1.185,-1.063
-0.282,-0.391,-0.223,-0.382,-0.771,-1.439,-0.508,-0.993,-0.603,-1.141,-0.95
0.375,0.332,0.103,-0.61,-0.352,-0.243,-0.743,-0.702,-0.107,-1.22,-0.967
0.75,1.294,0.653,-0.203,-0.619,-0.075,0.881,-0.861,0.217,-0.837,-0.171
1.451,0.617,0.13,0.628,0.457,0.67,0.747,-0.204,0.249,-0.255,0.093
0.432,0.283,-0.221,0.19,-0.142,0.489,0.56,-0.672,-0.742,-0.532,-1.001
-0.646,-0.075,-0.616,-0.024,-0.726,-0.303,0.313,-0.412,0.081,-0.67,-0.67
-0.639,-0.099,0.25,-0.373,-0.565,-0.252,0.546,-0.657,-0.332,-0.758,-0.573
-0.614,-0.431,-0.152,-0.211,-0.688,-0.547,-0.229,-0.359,-0.293,-1.02,-0.473
-0.716,-0.437,-0.586,-0.549,-0.392,-0.875,-0.357,-0.684,-0.758,-0.883,-1.128
-1.074,-0.576,-0.512,-0.38,-0.753,-0.574,-1.364,-0.89,-0.354,-1.012,-1.02
-1.048,-0.631,-0.369,-0.07,-1.221,-1.172,-0.743,-0.86,-0.334,-1.126,-1.229
-0.788,-0.455,-0.404,-0.378,-0.583,-0.273,-0.9,-0.82,-0.331,-1.079,-0.258
-0.851,-0.489,-0.898,-0.74,-0.639,-0.845,-0.785,-0.748,-1.155,-1.132,-0.508
-1.077,-0.781,-0.827,-0.623,-0.459,-1.029,-0.631,-0.994,-0.822,-1.252,-0.761
-1.111,-0.646,-0.737,-0.852,-0.589,-1.117,-0.919,-1.014,-0.784,-1.197,-1.033
-1.212,-0.571,-0.697,-0.629,-0.812,-0.758,-0.908,-1.026,-0.647,-1.307,-1.153
-0.675,-0.649,-0.998,-0.686,-0.518,-0.768,-0.448,-0.597,-1.035,-1.042,-0.576
-1.084,-0.697,-0.948,-0.695,-0.317,-0.984,-0.442,-1.07,-0.992,-1.064,-0.704
-0.881,-0.673,-0.945,-0.769,-0.128,-0.765,-0.098,-1.192,-0.785,-1.151,-1.124
-0.984,-0.833,-1.079,-0.931,-0.643,-0.889,-1.159,-0.921,-0.741,-1.234,-0.887
-0.652,-0.667,-0.961,-1.132,-0.804,-0.769,-0.69,-1.061,-0.363,-1.216,-0.487
-0.902,-0.976,-1.162,-0.804,-0.704,-0.746,-0.897,-0.955,-0.171,-1.098,-0.526
-1.007,-0.93,-1.119,-0.507,-0.951,-0.96,-1.081,-1.011,-1.164,-1.009,-0.984
-0.869,-0.859,-0.955,-1.1,-0.843,-0.804,-1.168,-1.188,-0.865,-1.096,-0.764
-1.156,-0.757,-0.971,-0.662,-0.62,-0.602,-0.353,-0.816,-1.233,-0.909,-1.355
-0.93,-0.601,-1.068,-0.523,-0.526,-0.649,-0.149,-0.847,-0.497,-0.748,-0.852
-1.004,-0.639,-0.755,-0.76,-0.761,-0.702,-0.685,-0.951,0.354,-0.688,-0.833
-0.915,-0.812,-1.204,-0.31,-0.95,0.1,-0.077,-0.843,0.122,-0.619,-0.678
-0.764,-0.53,-0.898,-0.588,-0.264,-0.094,-0.096,-0.86,-0.011,-0.498,-0.167
0.242,0.226,-0.899,-0.591,0.091,1.297,0.3,-0.844,-0.708,-0.771,0.358
-0.123,-0.245,-1.065,-0.604,-0.099,-0.164,0.162,-0.779,-0.598,-0.407,0.122
-0.903,-0.414,-0.838,-0.509,-0.34,-0.303,-0.303,-0.863,-0.985,-0.721,-0.43
-1.159,-0.69,-0.499,-0.848,-0.319,-0.591,0.181,-0.496,-0.992,-0.652,-0.624
-1.022,-0.747,-0.824,-0.916,-0.325,-0.819,-0.417,-0.772,-0.622,-0.658,-0.108
-1.192,-0.702,-1.205,-0.843,-0.592,-0.949,-0.768,-1.033,-1.063,-0.66,-0.647
-1.226,-0.67,-0.697,-0.774,-0.569,-0.966,-0.094,-0.888,-1.377,-0.677,-0.836
-1.236,-0.875,-0.987,-0.842,-0.669,-1.085,-0.298,-1.193,-0.558,-0.851,-0.517
-1.163,-0.816,-0.637,-0.913,-0.739,-0.835,-0.518,-1.002,-0.153,-0.91,-0.744
-1.333,-0.836,-0.927,-1.133,-0.945,-0.629,-0.377,-0.938,-0.912,-0.88,-0.888
-1.096,-0.778,-0.81,-0.738,-0.558,-1.017,-0.643,-0.841,-1.087,-0.812,-1.084
-1.146,-0.746,-0.749,-0.988,-0.865,-1.108,-0.515,-1.032,-0.483,-0.897,-0.675
-1.253,-0.556,-1.006,-1.017,-0.659,-1.073,-0.64,-1.163,-1.04,-0.862,-0.552
-0.737,-0.483,-1.267,-1.148,-0.952,-0.675,-0.971,-0.82,-1.377,-0.816,-0.91
-1.054,-0.735,-1.071,-0.984,-0.616,-0.792,-0.465,-0.873,-0.442,-0.926,-0.58
-0.881,-0.488,-0.637,-0.821,-0.726,-0.772,-0.543,-1.043,-0.689,-0.758,-0.816
-0.795,-0.642,-0.626,-1.138,-0.877,-0.883,-0.552,-0.929,-1.185,-0.838,-0.836
-0.569,-0.068,-0.826,-1.035,-0.681,-0.698,-0.554,-0.882,-0.271,-0.834,-0.648
-0.927,-0.452,-0.46,-0.458,-1.128,-1.013,-1.253,-0.856,-0.953,-0.853,-1.421
-0.206,-0.282,-0.421,-0.678,-0.729,-0.972,-1.161,-0.885,-0.545,-0.697,-1.284
-0.597,-0.564,-0.612,-0.985,-0.908,-1.222,-0.864,-1.241,-1.208,-1.333,-1.088
0.512,-0.333,-0.429,-0.697,-0.577,-0.693,-0.831,-0.765,-1.055,-0.729,-1.012
-0.061,-0.295,-0.81,-0.836,-0.543,-1.137,-0.399,-0.709,-0.651,-0.7,0.225
-0.259,-0.375,-0.685,-0.957,-0.961,-1.136,-0.223,-0.921,-0.671,-0.847,-1.205
0.304,-0.063,-0.238,-0.863,-0.65,-0.934,-1.133,-0.896,-0.412,-1.007,-0.851
0.963,0.662,0.175,-0.455,-0.319,0.12,-0.31,-0.546,-0.298,-0.667,-0.113
1.017,0.636,0.485,0.255,-0.17,0.508,1.213,0.264,0.385,-0.053,0.658
1.023,0.129,0.505,-0.364,0.018,0.018,0.553,-0.31,0.01,-0.088,-0.241
-0.207,0.148,0.351,-0.187,-0.501,-0.46,0.823,-0.211,0.188,-0.218,-0.125
-0.275,0.094,-0.263,-0.157,-0.514,-0.24,0.792,-0.306,-0.011,-0.294,-0.367
-0.46,-0.325,-0.195,-0.566,-0.495,-0.506,0.556,0.169,-0.653,-0.482,-0.519
-0.248,-0.394,-0.327,-0.693,-0.809,-0.658,-0.284,-0.539,-0.149,-0.495,-0.232
-0.752,-0.742,-0.471,-0.775,-0.902,-1.066,-0.085,-0.526,-0.512,-0.743,-1.036
-0.814,-0.694,-0.543,-0.676,-0.868,-0.957,-0.539,-0.789,-0.826,-0.781,-1.019
-0.626,-0.606,-0.237,-0.881,-0.667,-0.762,-0.236,-0.591,-0.953,-0.658,-0.635
-0.814,-0.653,-0.983,-0.884,-0.823,-1.225,-0.517,-0.65,-0.672,-0.742,-0.746
-1.006,-0.87,-0.811,-0.831,-1.019,-0.911,-0.835,-0.76,-0.647,-0.86,-0.705
-1.04,-0.719,-0.521,-0.595,-0.601,-1.13,-0.105,-0.836,-0.452,-0.899,-1.314
-1.086,-0.584,-0.864,-0.794,-0.572,-1.152,-0.426,-0.856,-0.888,-0.768,-0.755
-0.555,-0.708,-0.557,-0.837,-0.62,-0.758,-0.458,-0.964,-0.961,-0.712,-0.482
-0.646,-0.779,-0.671,-0.8,-0.742,-0.957,-0.399,-0.724,-0.714,-0.764,-1.25
-0.77,-0.892,-0.735,-1.031,-0.565,-1.185,-0.617,-0.896,-0.563,-0.835,-0.788
-1.091,-0.802,-0.752,-1.061,-0.65,-1.096,-0.466,-0.917,-0.757,-0.889,-0.783
-1.028,-0.93,-1.136,-1.27,-0.714,-1.202,-0.851,-0.922,-0.906,-0.801,-1.092
-1.172,-0.964,-0.817,-1.265,-0.936,-1.153,-0.907,-1.055,-0.627,-0.794,-0.314
-1.066,-1.036,-1.01,-1.018,-0.707,-1.138,-0.685,-0.989,-0.687,-0.81,-0.971
-1.04,-0.92,-1.123,-1.057,-0.678,-1.699,-0.647,-1.004,-1.129,-0.842,-1.104
-1.127,-0.995,-0.949,-0.905,-1.034,-1.056,-0.933,-0.967,-0.437,-0.54,-0.549
-0.784,-0.811,-1.114,-0.847,-0.38,-1.23,-0.35,-0.865,-0.541,-0.377,-0.012
-0.885,-0.948,-0.969,-0.802,-0.548,-0.901,-0.413,-0.826,-0.348,-0.381,-0.454
-0.87,-0.736,-1.006,-1.036,-0.896,-1.097,-0.717,-0.735,-0.765,-0.34,-0.75
-0.802,-0.585,-1.045,-0.624,-0.591,-0.558,0.087,-0.681,-0.485,-0.158,-0.926
0.235,-0.204,-0.988,-0.23,-0.543,-0.665,0.066,-1.001,-0.284,-0.347,-0.422
-0.064,-0.627,-0.887,-0.523,-0.723,-0.744,-0.543,-0.758,-0.511,-0.267,-0.335
-0.819,-0.736,-0.829,-0.817,-0.549,-0.646,0.057,-0.914,-0.724,-0.193,-0.457
-1.181,-0.924,-1.148,-1.036,-0.512,-0.995,-0.422,-0.922,-0.562,-0.393,-0.499
-1.065,-0.788,-0.8,-0.912,-0.406,-1.247,-0.377,-0.99,-0.398,-0.298,-0.062
-1.102,-0.954,-1.064,-1.106,-0.789,-1.315,-0.829,-0.887,-1.162,-0.404,-0.882
-1.18,-0.961,-0.862,-0.977,-0.947,-1.156,0.148,-1.072,-0.55,-0.396,-0.462
-1.104,-0.983,-0.72,-1.193,-0.8,-0.981,-0.274,-1.003,-0.42,-0.394,-0.658
-1.181,-0.943,-0.95,-1.064,-0.829,-1.124,-0.535,-0.912,-0.564,-0.52,-0.027
-1.286,-0.967,-1.104,-0.984,-1.086,-1.467,-0.698,-0.948,-0.527,-0.531,-1.01
-1.141,-1.075,-1.008,-1.139,-0.82,-1.156,-1.069,-0.979,-0.618,-0.549,-0.539
-1.268,-1.129,-0.754,-0.957,-0.908,-1.217,-0.828,-1.075,-0.479,-0.588,-1.04
-1.199,-0.75,-0.931,-1.082,-1.066,-1.299,-1.062,-0.985,-0.896,-0.642,-0.908
-0.82,-0.947,-0.537,-1.243,-0.661,-1.102,-0.913,-0.815,-0.602,-0.493,-0.523
-0.747,-0.801,-0.469,-0.85,-0.8,-1.266,-0.82,-0.851,-0.529,-0.576,-1.188
-0.737,-0.838,-0.522,-1.025,-0.652,-1.362,-0.919,-1.074,-0.56,-0.58,-0.553
-0.775,-1.035,-0.598,-0.921,-0.859,-1.329,-0.919,-1.117,-0.8,-0.635,-0.667
-0.576,-0.805,-0.754,-0.953,-0.703,-1.058,-0.882,-0.941,-0.295,-0.579,-0.412
-0.347,-0.734,-0.435,-0.938,-0.891,-0.92,-1.022,-0.749,-0.208,-0.516,-0.445
-0.6,-0.786,-0.099,-0.916,-0.615,-0.805,-0.655,-0.987,-0.844,-0.396,-0.255
-0.592,-1.152,-0.215,-0.907,-0.779,-1.388,-1.309,-1.084,-0.944,-1.015,-0.998
0.636,-0.723,0.179,-0.85,-0.543,-1.096,-0.695,-0.698,-0.609,-0.249,-0.724
0.284,-0.607,-0.424,-0.905,-0.607,-1.354,-0.621,-0.752,-0.839,-0.306,-0.402
0.018,-0.744,-0.146,-0.775,-0.589,-1.353,-0.624,-0.753,-0.583,-0.571,0.116
0.577,-0.536,0.332,-0.85,-0.605,-0.637,-0.183,-0.761,0.034,-0.492,0.002
1.033,-0.122,1.377,-0.614,-0.204,-0.659,0.309,-0.817,0.321,-0.585,-0.188
1.164,0.012,0.908,0.781,-0.133,-0.007,1.015,-0.331,1.312,0.258,0.519
1.387,-0.03,0.71,0.104,0.234,-0.39,0.332,-0.393,0.395,0.576,0.598
0.216,-0.174,0.541,-0.316,-0.281,-0.217,0.492,-0.403,0.244,0.255,0.145
-0.19,-0.3,0.749,-0.146,-0.105,-0.341,0.222,-0.288,0.755,0.229,0.166
-0.095,-0.502,0.336,-0.286,-0.069,-0.518,0.164,-0.378,-0.171,0.118,0.477
-0.119,-0.647,0.129,-0.748,-0.224,-1.103,-0.404,-0.603,-0.451,0.079,0.483
-0.576,-0.819,0.117,-0.695,-0.477,-1.099,-0.512,-0.72,-0.679,-0.261,0.072
-0.539,-0.846,0.247,-0.614,-0.457,-1.234,-0.929,-0.763,-0.463,-0.369,-0.461
-0.404,-0.903,-0.193,-0.763,-0.721,-1.039,-0.473,-0.824,-0.412,-0.353,-0.255
