iclaimsNSA,michigan.unemployment,idaho.unemployment,pennsylvania.unemployment,unemployment.filing,new.jersey.unemployment,department.of.unemployment,illinois.unemployment,rhode.island.unemployment,unemployment.office,filing.unemployment
-0.439,-0.762,-0.003,-0.81,-0.222,-1.13,-0.755,-0.759,-0.801,-0.32,-0.261
-0.487,-0.773,-0.054,-0.796,-0.761,-1.182,-0.926,-0.884,-0.506,-0.37,-0.329
-0.661,-1.053,0.066,-0.839,-0.388,-0.963,-0.855,-0.971,-0.312,-0.493,-0.139
-0.432,-0.86,-0.056,-0.552,-0.35,-0.877,-0.947,-0.957,-0.639,-0.428,0.063
-0.299,-0.811,-0.124,-0.552,-0.12,-0.998,-0.626,-0.81,-0.588,-0.114,0.526
-0.177,-0.836,-0.088,-0.74,-0.214,-0.683,-0.392,-0.627,-0.776,-0.308,0.289
-0.554,-0.893,-0.061,-0.517,-0.229,-1.015,-0.687,-0.824,-0.652,-0.391,0.149
-0.47,-0.813,-0.149,-0.836,-0.156,-1.178,-0.548,-0.762,-0.855,-0.405,0.153
-0.491,-1.031,-0.251,-0.728,-0.197,-1.168,-1.114,-0.683,-0.872,-0.42,0.492
-0.579,-0.98,-0.351,-1.047,-0.515,-1.426,-1.205,-1.03,-0.536,-0.412,-0.2
-0.63,-0.757,-0.627,-0.78,-0.32,-1.11,-1.218,-1.003,-1.145,-0.386,-0.251
-0.569,-0.897,-0.6,-0.953,-0.448,-1.3,-0.944,-0.943,-0.853,-0.334,-0.102
-0.796,-0.894,-0.595,-0.592,-0.326,-1.537,-1.095,-0.991,-0.432,-0.495,-0.248
-0.159,-0.785,-0.314,-0.542,0.184,-0.9,-0.915,-0.717,-0.307,-0.182,0.696
-0.369,-0.792,-0.306,-0.493,0.161,-1.095,-0.415,-0.89,-0.12,-0.138,0.631
-0.291,-0.232,-0.257,-0.385,0.342,-0.402,-0.404,-0.522,0.227,-0.071,0.51
-0.199,-0.327,-0.188,-0.499,0.006,-0.513,-0.42,-0.46,0.455,0.121,1.024
0.094,0.463,-0.248,0.226,0.521,0.231,0.351,-0.265,0.253,0.125,1.207
0.752,0.221,-0.376,-0.106,1.14,0.397,0.504,-0.221,0.145,0.603,1.272
0.111,0.271,-0.263,-0.093,0.873,0.091,0.165,-0.412,-0.24,0.779,0.767
-0.149,0.308,-0.094,-0.079,0.674,0.005,0.936,-0.192,-0.557,0.673,1.345
-0.081,-0.17,0.008,-0.15,0.717,0.155,0.872,-0.296,-0.34,0.824,1.255
-0.161,-0.439,-0.129,-0.295,0.582,-0.161,0.677,-0.689,0.007,0.594,0.632
-0.432,-0.694,0.095,-0.418,0.383,-0.271,0.112,-0.374,-0.167,0.396,0.618
-0.413,-0.511,-0.053,-0.031,0.852,-0.159,0.154,-0.449,0.075,0.461,1.317
-0.27,-0.753,-0.269,0.228,0.723,-0.201,0.014,-0.618,-0.693,0.456,0.818
-0.485,-0.344,-0.07,0.019,1.094,-0.049,-0.185,-0.263,-0.474,0.6,1.432
-0.082,-0.494,-0.338,0.2,0.483,-0.028,-0.222,-0.489,-0.295,0.768,0.414
0.058,-0.429,-0.13,-0.297,0.9,0.106,-0.267,-0.474,-0.663,0.637,0.698
0.01,-0.451,0.161,-0.128,1.086,-0.129,-0.19,-0.44,0.031,0.748,1.699
0.316,-0.172,0.462,0.046,1.39,0.139,0.022,-0.291,0.434,0.975,1.093
0.558,-0.115,1.105,0.023,0.617,-0.029,0.097,-0.265,0.837,1.029,1.359
0.222,-0.097,0.595,0.605,0.979,0.365,0.107,0.262,0.386,1.183,1.335
0.516,0.136,0.459,0.51,1.627,0.26,0.249,0.129,1.559,1.256,1.773
0.666,0.177,0.705,0.362,1.557,0.515,0.259,0.446,1.422,1.057,0.853
1.316,0.422,0.502,0.536,1.623,0.931,0.744,0.596,1.438,1.318,2.086
1.079,0.771,1.667,1.132,1.661,1.101,1.027,0.957,1.458,1.868,2.611
1.928,2.101,2.69,2.534,2.12,3.04,1.808,2.053,3.468,2.101,2.729
1.293,1.196,1.749,1.664,1.915,1.674,1.12,0.77,1.573,1.131,1.258
3.267,2.281,2.008,2.728,2.847,2.755,2.146,1.861,2.304,3.096,2.283
2.112,2.128,1.664,2.024,2.832,2.19,1.439,2.157,2.528,2.633,1.827
2.906,2.474,2.648,2.375,3.541,2.459,1.907,1.831,2.952,2.341,2.382
2.882,3.984,2.331,1.955,3.993,2.539,2.49,1.252,3.099,1.234,1.456
3.014,3.179,2.967,3.427,5.114,3.026,4.255,1.921,4.234,2.757,1.826
5.002,5.006,3.323,3.861,5.825,3.544,4.578,3.063,4.076,4.904,4.532
3.298,3.335,2.902,3.064,4.548,3.114,3.337,2.371,3.949,3.735,3.48
2.026,4.25,2.717,3.43,4.266,2.788,3.179,2.39,4.235,3.257,2.656
2.574,3.094,3.029,2.458,4.118,2.792,3.108,3.303,5.128,3.111,3.35
2.822,2.535,2.124,1.975,4.1,2.508,2.673,2.795,3.609,2.96,3.292
2.024,1.772,2.07,1.75,3.799,1.829,1.937,2.146,2.915,2.057,2.678
1.898,2.315,2.027,1.854,2.999,2.155,2.602,2.818,2.688,2.269,2.569
2.253,1.9,2.272,2.263,3.053,2.298,1.831,2.71,3.207,2.375,2.959
2.313,2.54,2.49,2.232,2.584,2.28,2.376,2.966,3.828,2.624,3.114
1.858,1.59,1.763,2.054,2.011,2.406,1.652,2.115,2.899,2.198,2.764
1.76,1.771,2.139,1.795,1.901,1.553,2.059,2.063,2.067,1.948,2.385
1.841,1.59,2.029,1.867,2.188,1.559,1.631,1.699,1.705,1.844,2.71
2.054,2.054,1.863,1.767,2.524,1.539,2.167,2.551,1.547,2.329,2.298
1.941,1.496,2.097,1.422,1.804,1.63,1.685,1.813,1.21,2.009,2.62
1.817,2.072,1.901,1.728,2.223,1.374,1.604,2.219,1.018,1.988,2.021
1.701,1.636,2.097,1.373,1.873,1.181,1.957,1.605,0.947,1.704,1.55
1.288,1.771,1.541,1.028,1.546,0.834,1.296,1.326,0.306,1.638,1.688
1.586,3.024,1.375,1.175,0.981,0.792,1.318,1.426,0.064,1.604,1.27
1.325,1.961,1.113,1.395,1.246,1.503,1.209,1.466,-0.004,1.759,1.435
1.302,1.931,0.698,1.31,1.381,1.129,1.166,1.3,0.439,1.766,1.124
0.967,1.732,0.682,1.679,1.504,1.328,1.393,1.013,0.606,1.897,1.916
1.681,2.15,0.165,1.789,1.162,1.297,1.546,1.477,0.418,2.308,1.502
1.516,1.94,0.946,1.589,1.32,1.375,1.732,1.387,0.523,2.23,1.44
1.604,2.491,1.325,1.526,1.379,1.824,1.3,1.909,1.249,2.543,1.607
1.524,2.154,0.812,1.831,1.822,1.81,1.721,1.518,1.413,2.288,1.96
1.724,2.831,0.896,2.1,2.134,1.792,2.265,1.875,1.533,2.42,2.159
2.529,2.281,1.263,2.173,1.359,1.899,1.958,1.765,1.024,2.679,1.068
1.766,2.772,1.073,1.562,1.743,1.802,2.72,1.822,1.951,2.618,1.752
1.108,1.947,1.419,2.028,1.218,1.376,2.07,1.716,1.173,2.315,1.162
0.707,1.478,0.657,1.783,1.261,0.858,2.626,1.644,1.185,2.203,0.785
0.845,1.477,0.636,2.404,1.723,1.85,1.683,1.601,1.235,2.454,1.149
0.626,0.999,0.537,1.775,1.01,1.281,1.787,1.223,0.565,2.228,1.317
0.619,1.477,0.464,1.482,0.857,1.499,1.337,1.439,1.058,2.119,0.695
0.615,1.271,0.738,1.159,1.039,1.005,1.243,1.933,0.723,2.053,0.791
0.699,1.407,0.378,1.222,1.144,1.375,1.048,1.395,0.906,1.98,1.22
0.208,0.997,0.563,1.34,0.524,1.416,1.278,1.08,0.792,1.653,1.06
0.445,1.296,0.427,1.254,0.69,1.71,0.89,1.033,0.315,1.282,0.858
0.518,1.316,0.757,2.422,0.791,1.883,0.924,1.481,0.956,0.704,0.776
0.577,1.271,0.67,1.472,0.546,1.32,0.925,1.017,0.074,0.756,0.844
1.086,1.16,0.563,1.061,0.443,1.424,1.122,1.19,0.272,0.667,0.557
0.654,1.113,1.537,1.358,0.875,0.788,1.192,1.079,0.765,0.7,0.817
0.958,1.171,1.11,0.953,0.854,1.065,0.832,0.927,0.845,0.622,0.646
0.855,0.974,1.365,1.116,0.685,0.865,1.043,0.899,0.202,0.311,0.133
1.293,2.262,1.607,1.528,0.722,2.245,0.891,1.768,1.551,0.82,0.698
0.781,1.909,1.441,1.942,1.192,1.669,1.579,1.526,1.475,0.777,1.02
1.379,1.582,1.423,0.871,1.042,1.154,1.366,1.29,1.019,0.684,1.646
0.628,1.472,1.037,0.963,0.511,0.735,1.099,0.693,0.798,-0.182,0.638
2.494,1.614,1.618,3.641,1.857,1.184,1.831,1.398,0.702,1.016,0.938
1.509,1.056,1.45,1.325,0.611,0.847,0.84,0.99,1.211,0.696,0.409
1.595,1.315,2.047,1.315,0.721,0.472,1.73,1.162,1.433,0.55,1.167
1.51,1.996,1.884,5.468,1.334,1.065,1.524,1.076,1.61,-0.096,1.285
2.301,1.986,1.72,4.041,1.691,2.848,2.264,1.662,2.268,0.746,1.944
3.845,2.181,2.609,3.694,2.057,3.171,3.205,3.123,2.666,2.056,2.865
2.371,1.592,2.442,2.977,1.998,1.558,2.243,1.716,1.779,1.554,2.17
1.031,1.783,3.002,2.331,1.883,2.188,2.55,1.806,2.344,1.235,1.365
1.305,1.292,2.183,1.814,1.205,1.207,2.411,2.42,2.256,1.074,1.345
1.074,0.903,1.341,1.39,0.805,1.118,1.478,1.308,1.717,0.527,0.865
0.805,0.517,0.738,0.782,0.609,0.453,1.365,0.988,1.471,0.226,0.62
0.594,1.137,0.953,1.301,0.676,1.516,1.199,1.185,1.923,0.419,0.364
0.74,1.521,0.532,0.804,0.431,0.938,0.982,0.835,2.085,0.079,0.866
0.634,2.118,0.47,1.217,0.611,1.623,1.164,2.34,1.365,0.246,0.492
0.425,0.738,0.974,1.021,0.537,1.116,0.588,1.219,1.656,0.111,-0.047
0.195,0.481,0.108,1.002,0.526,0.691,0.444,0.826,1.357,-0.059,-0.01
0.192,0.406,0.4,0.738,0.142,0.508,0.09,0.691,1.469,-0.198,0.02
0.266,0.522,0.14,0.847,0.523,0.66,1.093,0.636,1.768,-0.213,0.494
1.089,0.527,0.519,1.196,0.33,1.04,0.555,0.757,1.319,0.009,0.582
0.405,1.201,0.235,0.993,0.145,1.171,0.952,1.003,1.158,-0.066,0.687
0.338,0.566,0.369,0.453,0.025,0.497,0.765,0.703,0.91,-0.284,-0.158
0.074,0.183,0.169,0.185,0.093,0.495,0.299,0.399,0.616,-0.402,-0.21
0.206,0.192,0.071,0.112,-0.343,0.39,0.176,0.128,0.17,-0.248,-0.197
0.208,0.263,-0.088,0.061,-0.308,0.119,0.141,0.276,0.441,-0.333,-0.022
0.175,0.177,0.13,0.12,-0.241,0.064,0.359,0.287,0.23,-0.338,-0.236
0.246,0.179,0.34,0.253,-0.435,0.063,0.064,0.485,0.425,-0.338,0.341
0.069,0.509,0.527,0.374,0.19,0.506,0.583,0.617,0.198,-0.229,0.421
0.506,0.541,0.066,0.347,0.141,0.189,0.482,0.878,0.317,0.063,0.487
0.319,0.745,0.351,0.809,-0.054,0.57,1.068,0.599,0.483,-0.002,1.085
0.475,1.048,0.233,0.861,0.295,1.51,1.153,1.128,0.256,0.25,0.725
0.702,1.423,0.413,0.969,0.181,2.239,0.93,1.189,0.447,0.353,1.234
1.105,0.752,0.161,0.453,0.201,0.623,0.862,0.78,0.017,0.264,0.429
0.982,0.93,0.145,0.383,0.219,0.716,0.68,1.324,0.719,0.486,0.169
0.2,1.92,0.5,1.923,0.243,1.364,2.066,3.132,0.771,1.022,0.829
0.098,1.102,0.325,0.885,0.466,0.486,1.722,2.587,0.56,1.152,0.188
0.305,0.394,0.696,0.445,0.087,0.3,0.795,0.836,0.323,0.82,0.393
0.128,-0.027,0.173,0.207,0.125,0.262,0.542,0.391,0.05,0.526,0.735
-0.054,-0.187,0.23,0.08,0.003,0.035,0.471,0.225,0.049,0.409,0.228
-0.07,-0.201,-0.135,0.194,0.241,-0.072,0.623,0.154,-0.035,0.272,0.176
-0.081,-0.309,0.092,-0.007,0.443,0.096,0.012,0.364,-0.225,0.157,0.275
-0.435,-0.32,0.171,-0.122,-0.277,-0.299,-0.035,0.117,-0.482,-0.146,-0.073
-0.077,-0.394,-0.114,-0.134,-0.133,-0.404,-0.068,0.414,-0.312,-0.015,-0.215
-0.163,-0.345,0.091,-0.155,-0.227,-0.399,-0.42,0.302,-0.048,-0.21,-0.288
-0.153,-0.438,0.2,-0.122,-0.284,-0.319,0.277,0.217,-0.195,-0.157,0.228
0.633,-0.135,0.337,0.201,-0.363,-0.359,-0.48,0.074,-0.324,-0.176,-0.175
0.026,-0.486,0.537,-0.121,-0.158,-0.536,-0.863,0.051,-0.068,-0.342,-0.108
0.154,-0.253,0.52,-0.265,-0.346,-0.523,-0.813,0.221,-0.171,-0.42,-0.419
0.266,-0.324,0.309,-0.185,-0.168,-0.688,-1.124,0.006,0.275,-0.427,-0.207
0.545,-0.158,0.368,-0.176,-0.248,-0.377,-0.602,0.338,0.103,-0.115,-0.455
0.164,0,0.687,-0.562,-0.186,-0.536,-0.954,0.396,0.328,-0.16,-0.102
0.652,0.069,0.748,-0.374,-0.352,-0.518,-0.459,0.284,0.039,-0.194,-0.11
0.194,-0.08,0.606,-0.646,-0.458,-0.8,-0.815,-0.103,-0.409,-0.98,-0.598
1.721,0.559,1.184,0.064,-0.163,1.193,-0.254,1.054,0.287,0.218,0.15
0.891,0.257,1.271,-0.014,-0.263,0.242,-0.367,1.017,0.647,-0.07,-0.196
0.924,0.386,0.861,-0.07,-0.055,0.222,-0.041,0.92,0.213,-0.085,0.03
1.191,0.502,1.229,-0.081,-0.085,0.335,-0.132,0.728,0.22,-0.3,-0.147
1.661,0.547,1.274,0.031,-0.052,0.47,0.236,0.821,0.784,0.148,0.213
3.382,1.758,2.577,1.244,0.98,2.124,1.59,2.625,1.288,2.124,2.054
1.403,0.881,2.303,0.861,0.6,1.324,0.885,1.757,0.554,1.258,1.009
0.839,2.433,3.064,0.838,0.598,0.995,1.377,1.965,0.729,1.151,1.254
0.652,1.291,2.415,0.25,0.532,0.782,1.421,2.223,1.045,0.901,1.448
0.439,0.465,1.51,0.43,0.567,1.517,0.626,1.447,0.09,0.46,0.937
0.295,0.287,1.189,0.136,-0.041,0.329,0.047,1.479,0,0.262,0.55
-0.089,-0.036,0.878,0.014,-0.121,-0.066,0.077,1.24,0.053,0.195,-0.098
-0.329,-0.18,0.976,-0.15,-0.001,-0.116,-0.108,0.812,-0.199,0.231,0.262
0.144,-0.154,0.854,-0.006,0.159,-0.011,0.023,0.793,0.25,0.225,0.262
-0.171,-0.135,0.805,-0.311,-0.098,-0.062,-0.435,0.485,-0.478,0.081,0.534
-0.323,-0.328,0.376,-0.426,-0.406,-0.437,-0.659,0.559,-0.38,-0.087,0.14
-0.297,0.486,0.712,-0.247,-0.443,-0.378,-0.297,0.428,-0.01,0.127,0.136
-0.329,0.405,0.672,-0.196,-0.327,-0.24,-0.04,0.654,-0.373,0.232,0.267
0.504,-0.077,1.139,-0.053,0.004,0.166,-0.17,0.75,-0.32,0.536,0.45
-0.081,-0.331,0.969,-0.369,-0.303,0.196,-0.316,0.684,-0.23,0.194,0.556
-0.028,-0.235,0.786,-0.31,-0.22,-0.168,-0.334,0.327,-0.703,0.07,0.263
0.221,-0.377,0.78,-0.462,-0.366,-0.143,-0.377,0.502,-0.232,0.097,-0.229
0.059,-0.478,0.576,-0.481,-0.358,-0.357,-0.376,0.188,-0.225,0.129,-0.241
-0.26,-0.31,0.528,-0.496,-0.574,-0.089,-0.274,0.351,-0.512,0.061,-0.061
-0.127,-0.494,0.08,-0.431,-0.581,-0.134,-0.258,0.357,0.064,0.043,0.303
-0.084,-0.4,0.586,-0.529,-0.218,-0.16,-0.317,0.317,-0.167,0.056,-0.143
-0.214,-0.492,0.508,-0.018,-0.097,-0.162,-0.042,0.46,-0.176,0.223,-0.121
0.085,-0.44,0.443,-0.102,-0.297,-0.085,-0.066,0.575,-0.265,0.438,-0.152
0.029,-0.371,0.523,0.062,-0.275,-0.02,0.301,0.519,-0.441,0.45,0.105
0.138,-0.307,0.375,-0.078,-0.395,0.434,0.209,0.328,-0.308,0.378,0.22
0.306,-0.136,0.323,-0.011,-0.02,0.614,0.18,0.455,-0.251,0.576,0.071
0.733,0.081,0.698,0.232,0.028,0.576,0.279,0.491,-0.088,0.645,0.653
0.699,-0.116,0.542,0.048,-0.228,0.414,0.277,0.264,0.062,0.774,0.262
-0.193,-0.163,0.446,-0.136,-0.154,0.024,0.031,0.421,0.104,0.413,-0.421
-0.441,-0.422,0.274,-0.165,0.049,0.171,-0.233,0.249,-0.275,0.248,-0.208
-0.324,-0.343,0.34,-0.003,-0.228,0.451,-0.183,0.612,-0.023,0.344,-0.113
-0.398,-0.549,0.046,-0.307,-0.334,0.491,-0.36,0.629,0.186,0.273,0.008
-0.408,-0.587,0.198,-0.109,-0.392,1.046,-0.458,0.602,0,0.331,0.053
-0.48,-0.279,0.018,-0.528,-0.437,-0.106,-0.543,0.255,-0.581,0.078,-0.225
-0.375,-0.44,0.106,-0.268,-0.457,0.016,-0.536,0.263,-0.155,0.134,-0.569
-0.55,-0.507,0.092,-0.232,-0.439,0.035,-0.696,0.333,0.161,-0.035,-0.594
-0.329,-0.446,0.122,-0.321,-0.27,0.936,-0.65,0.183,-0.12,0.09,-0.369
-0.557,-0.539,0.027,-0.361,-0.474,-0.031,-0.996,0.059,-0.298,-0.064,-0.505
-0.518,-0.552,-0.09,-0.477,-0.393,-0.089,-0.724,0.053,-0.262,-0.085,-0.32
0.132,-0.565,0.245,-0.356,-0.255,-0.047,-0.698,-0.048,-0.183,-0.026,-0.334
-0.296,-0.661,0.336,-0.522,-0.306,-0.299,-0.438,-0.111,-0.064,0.053,0.071
-0.123,-0.482,0.625,-0.465,-0.359,0.052,-0.378,-0.004,0.181,0.09,-0.075
-0.189,-0.571,0.641,-0.397,-0.271,-0.337,-0.499,-0.084,-0.606,0.138,-0.345
0.102,-0.377,0.2,-0.436,-0.139,-0.07,-0.557,0.12,-0.048,0.233,-0.042
-0.248,-0.457,0.322,-0.582,-0.28,-0.297,-0.588,0.101,-0.468,0.127,-0.056
0.434,-0.22,0.653,-0.451,-0.33,-0.179,-0.476,0.169,-0.381,0.473,0.047
-0.163,-0.528,0.495,-0.48,-0.6,-0.541,-0.929,-0.072,-0.246,-0.447,-0.791
1.218,-0.066,0.484,0.148,-0.215,-0.072,-0.303,0.452,0.113,0.818,-0.098
0.396,-0.258,0.667,-0.254,-0.32,-0.105,-0.768,0.221,-0.474,0.444,-0.1
0.266,-0.026,0.603,-0.047,-0.142,-0.203,-0.397,0.232,-0.127,0.346,-0.117
0.943,0.164,0.705,-0.13,-0.184,0.034,-0.602,0.445,0.331,0.152,-0.36
1.318,0.494,0.98,0.175,-0.126,0.712,0.355,0.359,0.758,0.621,-0.234
2.256,0.645,1.234,0.826,0.283,1.183,0.521,0.99,0.717,1.657,0.619
1.188,0.285,1.179,0.714,0.182,0.494,0.081,0.735,0.467,1.386,0.354
0.229,0.318,1.164,0.123,-0.272,0.351,0.316,1.162,0.317,0.807,0.546
0.276,0.439,1.219,-0.039,0.278,0.047,0.266,1.252,0.326,0.83,0.614
0.091,0.109,0.576,-0.16,0.08,0.139,0.016,0.99,-0.183,0.349,0.377
-0.23,-0.06,0.401,-0.265,-0.289,-0.246,-0.123,0.5,-0.595,0.014,-0.03
-0.392,-0.139,0.398,-0.263,-0.569,-0.108,-0.579,0.5,-0.239,-0.192,-0.398
-0.502,-0.125,0.704,-0.434,-0.542,-0.204,-0.391,0.304,-0.428,-0.192,-0.44
-0.2,-0.362,0.611,-0.43,-0.271,0.035,-0.577,0.425,-0.655,-0.249,-0.727
-0.45,-0.49,0.194,-0.602,-0.408,-0.255,-0.754,0.093,-0.54,-0.345,-0.566
-0.632,-0.653,0.214,-0.623,-0.339,1.468,-0.797,0,-0.558,-0.299,-0.455
-0.598,-0.72,0.429,-0.542,-0.268,2.738,-0.733,0.015,-0.596,-0.264,-0.143
-0.667,-0.726,0.18,-0.435,-0.753,0.194,-1.07,-0.047,-0.547,-0.308,-0.563
-0.008,-0.662,0.293,-0.663,-0.463,-0.317,-0.989,0.127,-0.508,-0.215,-0.259
-0.182,-0.794,-0.109,-0.66,-0.719,-0.47,-0.752,-0.06,-0.529,-0.011,-0.215
-0.18,-0.591,0.135,-0.693,-0.349,-0.778,-0.911,0.027,-0.378,-0.085,-0.078
-0.509,-0.757,0.001,-0.799,-0.466,-0.65,-1.129,0.094,-0.567,-0.172,-0.622
-0.442,-0.827,0.194,-0.751,-0.765,-0.612,-1.169,-0.041,-0.475,-0.121,-0.517
-0.583,-0.968,-0.306,-0.844,-0.906,-0.652,-1.197,0.261,-0.824,-0.043,-0.332
-0.536,-0.89,-0.164,-0.76,-0.867,-0.615,-1.007,-0.107,-0.452,0.023,-0.399
-0.396,-0.948,-0.298,-1.059,-0.776,-0.725,-0.615,-0.092,-0.472,0.077,-0.502
-0.589,-0.821,-0.07,-0.753,-0.578,-0.397,-0.961,0.154,-0.414,0.036,-0.223
-0.127,-0.839,-0.242,-0.811,-0.604,-0.433,-0.885,0.06,-0.416,0.34,-0.247
-0.234,-0.886,-0.256,-0.665,-0.736,-0.449,-0.637,-0.157,-0.448,0.311,-0.03
-0.182,-0.796,-0.377,-0.644,-0.689,-0.12,-0.472,-0.055,-0.372,0.436,0.173
-0.187,-0.573,-0.339,-0.497,-0.559,0.024,-0.689,-0.049,-0.287,0.574,0.203
0.452,-0.37,-0.192,-0.152,-0.148,0.318,-0.117,0.264,-0.252,0.466,0.532
0.568,-0.211,-0.209,-0.433,-0.554,0.022,-0.254,0.339,-0.537,0.926,0.343
-0.444,-0.147,-0.067,-0.402,-0.689,-0.267,-0.296,0.195,-0.626,0.76,0.171
-0.69,-0.452,-0.345,-0.504,-0.522,-0.484,-0.382,0.218,-0.525,0.73,-0.125
-0.626,-0.487,-0.14,-0.412,-0.641,-0.349,-0.592,0.234,-0.635,0.84,-0.081
-0.648,-0.801,-0.224,-0.591,-0.731,-0.78,-0.668,0.107,-0.734,0.667,-0.307
-0.7,-0.679,-0.191,-0.848,-0.829,-0.522,-0.825,0.088,-0.431,0.742,-0.192
-0.694,-0.769,-0.174,-0.825,-0.804,-0.742,-0.865,0.051,-0.419,0.668,-0.266
-0.72,-0.716,-0.312,-0.812,-0.879,0.922,-1.279,0.132,-0.54,0.369,-0.397
-0.807,-0.73,-0.319,-0.808,-0.659,-0.678,-1.14,0.019,-0.386,0.256,-0.359
-0.536,-0.728,-0.038,-0.758,-0.829,-0.864,-1.451,-0.11,-0.43,0.388,-0.2
-0.772,-0.808,-0.264,-0.818,-0.855,-0.878,-1.46,-0.136,-0.423,0.226,-0.343
-0.816,-1.043,-0.364,-0.824,-1.014,-0.908,-1.639,-0.018,-0.548,0.249,-0.399
